Id,Category
0,0
1,10
2,10
3,9
4,6
5,3
6,9
7,10
8,0
9,2
10,3
11,0
12,0
13,10
14,5
15,4
16,1
17,4
18,0
19,9
20,3
21,5
22,9
23,9
24,1
25,0
26,10
27,4
28,0
29,1
30,5
31,5
32,2
33,2
34,5
35,1
36,5
37,10
38,10
39,3
40,4
41,1
42,6
43,10
44,5
45,1
46,8
47,10
48,10
49,9
50,10
51,1
52,3
53,4
54,0
55,8
56,7
57,7
58,6
59,9
60,5
61,8
62,2
63,9
64,10
65,8
66,1
67,1
68,4
69,10
70,5
71,5
72,6
73,1
74,0
75,7
76,4
77,1
78,3
79,0
80,0
81,0
82,4
83,8
84,6
85,4
86,4
87,0
88,9
89,0
90,5
91,4
92,6
93,8
94,4
95,7
96,1
97,2
98,6
99,10
100,4
101,0
102,5
103,0
104,0
105,7
106,6
107,5
108,9
109,0
110,5
111,5
112,4
113,3
114,9
115,4
116,9
117,6
118,9
119,3
120,1
121,5
122,0
123,5
124,4
125,5
126,4
127,5
128,1
129,9
130,5
131,0
132,10
133,3
134,0
135,2
136,1
137,10
138,10
139,1
140,10
141,4
142,2
143,5
144,1
145,0
146,9
147,4
148,8
149,5
150,5
151,4
152,4
153,0
154,10
155,1
156,1
157,0
158,4
159,4
160,5
161,1
162,5
163,5
164,8
165,0
166,0
167,8
168,8
169,3
170,2
171,1
172,9
173,4
174,1
175,0
176,2
177,10
178,8
179,7
180,3
181,8
182,9
183,6
184,10
185,9
186,10
187,0
188,0
189,4
190,7
191,1
192,1
193,0
194,4
195,5
196,8
197,9
198,4
199,4
200,9
201,2
202,5
203,7
204,4
205,4
206,0
207,4
208,8
209,4
210,4
211,8
212,8
213,0
214,0
215,0
216,10
217,1
218,6
219,5
220,5
221,0
222,0
223,7
224,0
225,0
226,1
227,9
228,6
229,3
230,4
231,1
232,7
233,4
234,7
235,9
236,0
237,10
238,0
239,7
240,0
241,0
242,8
243,4
244,7
245,0
246,0
247,4
248,10
249,0
250,8
251,3
252,5
253,2
254,5
255,0
256,0
257,9
258,4
259,0
260,10
261,1
262,4
263,10
264,0
265,4
266,1
267,0
268,4
269,9
270,9
271,3
272,10
273,0
274,0
275,1
276,3
277,2
278,3
279,4
280,9
281,9
282,9
283,0
284,10
285,0
286,2
287,4
288,9
289,10
290,3
291,4
292,7
293,10
294,4
295,2
296,7
297,0
298,10
299,5
300,0
301,9
302,3
303,1
304,0
305,10
306,8
307,7
308,9
309,0
310,0
311,0
312,9
313,8
314,8
315,0
316,7
317,4
318,5
319,7
320,0
321,2
322,5
323,0
324,4
325,3
326,5
327,6
328,10
329,0
330,1
331,0
332,0
333,9
334,0
335,2
336,1
337,2
338,5
339,10
340,9
341,6
342,5
343,3
344,0
345,0
346,4
347,6
348,0
349,9
350,10
351,10
352,0
353,2
354,6
355,1
356,3
357,8
358,10
359,4
360,3
361,5
362,10
363,6
364,8
365,5
366,4
367,0
368,8
369,0
370,5
371,4
372,1
373,4
374,7
375,0
376,5
377,4
378,0
379,5
380,10
381,6
382,4
383,2
384,8
385,3
386,9
387,10
388,10
389,0
390,0
391,0
392,10
393,8
394,7
395,2
396,10
397,8
398,8
399,1
400,9
401,4
402,9
403,9
404,1
405,3
406,4
407,5
408,0
409,4
410,6
411,7
412,0
413,1
414,10
415,6
416,0
417,4
418,3
419,0
420,5
421,4
422,0
423,10
424,3
425,4
426,6
427,4
428,9
429,9
430,5
431,0
432,4
433,8
434,3
435,2
436,8
437,10
438,4
439,2
440,10
441,4
442,1
443,4
444,2
445,0
446,0
447,1
448,0
449,2
450,4
451,9
452,0
453,9
454,4
455,6
456,5
457,0
458,8
459,10
460,10
461,7
462,10
463,4
464,4
465,9
466,7
467,7
468,9
469,0
470,5
471,4
472,5
473,8
474,10
475,4
476,6
477,2
478,9
479,0
480,5
481,4
482,3
483,4
484,10
485,4
486,1
487,9
488,5
489,9
490,3
491,5
492,7
493,4
494,5
495,5
496,8
497,2
498,7
499,10
500,1
501,1
502,4
503,9
504,4
505,7
506,3
507,8
508,10
509,5
510,2
511,9
512,9
513,4
514,4
515,2
516,4
517,9
518,4
519,3
520,0
521,8
522,7
523,1
524,5
525,2
526,9
527,7
528,6
529,0
530,4
531,0
532,0
533,8
534,7
535,10
536,4
537,4
538,4
539,0
540,10
541,1
542,10
543,0
544,9
545,2
546,0
547,0
548,3
549,10
550,9
551,0
552,6
553,0
554,4
555,2
556,1
557,5
558,6
559,5
560,9
561,1
562,0
563,8
564,0
565,4
566,5
567,1
568,0
569,3
570,5
571,0
572,4
573,5
574,0
575,4
576,8
577,0
578,4
579,2
580,9
581,5
582,5
583,9
584,3
585,9
586,2
587,0
588,0
589,5
590,4
591,0
592,4
593,5
594,0
595,4
596,0
597,3
598,4
599,4
600,5
601,10
602,0
603,6
604,4
605,4
606,0
607,4
608,5
609,3
610,4
611,9
612,2
613,0
614,2
615,10
616,10
617,9
618,4
619,9
620,7
621,4
622,4
623,4
624,9
625,3
626,0
627,0
628,1
629,6
630,0
631,0
632,5
633,8
634,9
635,8
636,1
637,1
638,2
639,0
640,8
641,9
642,10
643,4
644,1
645,4
646,7
647,5
648,0
649,3
650,7
651,10
652,8
653,5
654,9
655,5
656,5
657,4
658,9
659,4
660,1
661,10
662,4
663,4
664,9
665,9
666,0
667,0
668,6
669,0
670,7
671,9
672,0
673,0
674,4
675,0
676,3
677,5
678,5
679,2
680,2
681,0
682,0
683,1
684,3
685,0
686,3
687,0
688,10
689,6
690,2
691,9
692,8
693,5
694,4
695,4
696,6
697,8
698,9
699,1
700,7
701,8
702,10
703,4
704,1
705,10
706,8
707,7
708,5
709,4
710,0
711,8
712,6
713,1
714,7
715,4
716,0
717,4
718,4
719,9
720,10
721,6
722,4
723,10
724,9
725,4
726,10
727,1
728,4
729,4
730,8
731,7
732,8
733,2
734,4
735,1
736,0
737,0
738,4
739,7
740,3
741,6
742,4
743,3
744,7
745,9
746,2
747,8
748,6
749,8
750,4
751,1
752,4
753,5
754,8
755,3
756,4
757,10
758,4
759,4
760,2
761,8
762,0
763,0
764,1
765,3
766,0
767,9
768,5
769,10
770,6
771,4
772,4
773,5
774,3
775,1
776,1
777,5
778,10
779,4
780,4
781,3
782,5
783,10
784,0
785,4
786,9
787,0
788,8
789,10
790,0
791,8
792,7
793,1
794,7
795,5
796,1
797,2
798,0
799,1
800,4
801,9
802,0
803,8
804,4
805,0
806,10
807,8
808,10
809,4
810,0
811,9
812,0
813,0
814,4
815,0
816,5
817,2
818,4
819,7
820,8
821,8
822,9
823,10
824,0
825,3
826,4
827,4
828,4
829,4
830,0
831,3
832,8
833,0
834,4
835,6
836,5
837,0
838,9
839,3
840,5
841,10
842,5
843,0
844,8
845,8
846,0
847,4
848,0
849,0
850,0
851,1
852,1
853,1
854,10
855,10
856,10
857,4
858,0
859,2
860,1
861,0
862,0
863,1
864,3
865,9
866,2
867,10
868,8
869,0
870,0
871,10
872,5
873,3
874,9
875,3
876,8
877,3
878,4
879,10
880,5
881,5
882,9
883,4
884,8
885,8
886,0
887,4
888,5
889,4
890,6
891,3
892,5
893,4
894,0
895,2
896,3
897,5
898,4
899,5
900,6
901,10
902,4
903,4
904,5
905,4
906,7
907,5
908,9
909,9
910,10
911,0
912,0
913,2
914,4
915,3
916,5
917,8
918,9
919,4
920,3
921,3
922,8
923,9
924,9
925,0
926,6
927,1
928,4
929,9
930,9
931,3
932,4
933,4
934,0
935,5
936,1
937,9
938,8
939,4
940,1
941,0
942,4
943,10
944,2
945,10
946,7
947,1
948,6
949,2
950,7
951,4
952,0
953,1
954,1
955,1
956,6
957,6
958,4
959,9
960,2
961,4
962,0
963,10
964,4
965,4
966,5
967,5
968,0
969,4
970,4
971,0
972,4
973,0
974,1
975,2
976,4
977,5
978,1
979,3
980,0
981,7
982,4
983,9
984,0
985,1
986,10
987,0
988,4
989,4
990,5
991,7
992,5
993,7
994,7
995,4
996,3
997,2
998,9
999,9
1000,9
1001,2
1002,10
1003,7
1004,3
1005,6
1006,3
1007,1
1008,4
1009,0
1010,5
1011,0
1012,6
1013,2
1014,3
1015,0
1016,4
1017,0
1018,0
1019,9
1020,10
1021,9
1022,5
1023,1
1024,9
1025,5
1026,10
1027,0
1028,8
1029,5
1030,10
1031,4
1032,7
1033,2
1034,8
1035,7
1036,4
1037,4
1038,5
1039,8
1040,3
1041,8
1042,1
1043,0
1044,0
1045,9
1046,9
1047,4
1048,3
1049,9
1050,1
1051,1
1052,9
1053,4
1054,8
1055,5
1056,4
1057,5
1058,8
1059,0
1060,10
1061,10
1062,5
1063,10
1064,1
1065,0
1066,4
1067,10
1068,4
1069,4
1070,0
1071,6
1072,0
1073,9
1074,10
1075,4
1076,0
1077,0
1078,2
1079,10
1080,2
1081,2
1082,0
1083,0
1084,4
1085,1
1086,1
1087,5
1088,1
1089,0
1090,1
1091,0
1092,1
1093,5
1094,0
1095,1
1096,10
1097,2
1098,1
1099,6
1100,9
1101,1
1102,0
1103,4
1104,6
1105,7
1106,1
1107,10
1108,8
1109,9
1110,5
1111,9
1112,0
1113,5
1114,7
1115,3
1116,9
1117,5
1118,0
1119,2
1120,0
1121,9
1122,7
1123,3
1124,1
1125,9
1126,6
1127,3
1128,1
1129,4
1130,4
1131,10
1132,1
1133,4
1134,4
1135,2
1136,0
1137,4
1138,0
1139,0
1140,9
1141,1
1142,9
1143,5
1144,5
1145,4
1146,4
1147,8
1148,3
1149,10
1150,3
1151,0
1152,4
1153,0
1154,2
1155,9
1156,0
1157,0
1158,7
1159,1
1160,10
1161,2
1162,9
1163,9
1164,10
1165,2
1166,0
1167,5
1168,4
1169,6
1170,4
1171,9
1172,7
1173,2
1174,8
1175,3
1176,10
1177,4
1178,4
1179,4
1180,1
1181,0
1182,4
1183,1
1184,1
1185,6
1186,0
1187,4
1188,5
1189,8
1190,7
1191,4
1192,8
1193,4
1194,1
1195,4
1196,0
1197,5
1198,0
1199,2
1200,5
1201,3
1202,1
1203,10
1204,0
1205,4
1206,4
1207,9
1208,9
1209,3
1210,1
1211,0
1212,5
1213,10
1214,5
1215,8
1216,8
1217,10
1218,0
1219,1
1220,10
1221,5
1222,0
1223,1
1224,4
1225,10
1226,3
1227,6
1228,1
1229,9
1230,4
1231,0
1232,10
1233,5
1234,4
1235,9
1236,4
1237,0
1238,4
1239,4
1240,2
1241,4
1242,0
1243,9
1244,9
1245,8
1246,4
1247,5
1248,4
1249,5
1250,5
1251,9
1252,10
1253,0
1254,4
1255,4
1256,4
1257,10
1258,5
1259,1
1260,0
1261,3
1262,0
1263,4
1264,4
1265,9
1266,5
1267,10
1268,8
1269,3
1270,8
1271,10
1272,0
1273,4
1274,0
1275,1
1276,4
1277,4
1278,1
1279,1
1280,1
1281,8
1282,9
1283,5
1284,0
1285,3
1286,7
1287,9
1288,10
1289,0
1290,8
1291,8
1292,5
1293,5
1294,10
1295,4
1296,7
1297,4
1298,9
1299,0
1300,9
1301,2
1302,5
1303,4
1304,0
1305,1
1306,2
1307,7
1308,1
1309,1
1310,0
1311,3
1312,2
1313,1
1314,8
1315,3
1316,0
1317,2
1318,5
1319,10
1320,4
1321,3
1322,3
1323,0
1324,4
1325,2
1326,0
1327,4
1328,4
1329,1
1330,10
1331,9
1332,1
1333,2
1334,5
1335,4
1336,7
1337,3
1338,4
1339,1
1340,2
1341,4
1342,4
1343,1
1344,1
1345,7
1346,4
1347,7
1348,7
1349,10
1350,10
1351,5
1352,1
1353,1
1354,3
1355,0
1356,0
1357,6
1358,4
1359,2
1360,0
1361,4
1362,5
1363,4
1364,10
1365,7
1366,0
1367,8
1368,5
1369,1
1370,8
1371,9
1372,4
1373,1
1374,9
1375,4
1376,10
1377,2
1378,0
1379,4
1380,4
1381,3
1382,8
1383,10
1384,5
1385,4
1386,9
1387,4
1388,3
1389,10
1390,10
1391,0
1392,2
1393,0
1394,4
1395,0
1396,10
1397,2
1398,8
1399,9
1400,1
1401,9
1402,9
1403,5
1404,9
1405,4
1406,0
1407,4
1408,0
1409,2
1410,0
1411,4
1412,6
1413,4
1414,1
1415,8
1416,0
1417,0
1418,1
1419,0
1420,0
1421,0
1422,9
1423,8
1424,10
1425,0
1426,4
1427,0
1428,5
1429,4
1430,9
1431,7
1432,8
1433,4
1434,8
1435,6
1436,5
1437,0
1438,0
1439,5
1440,0
1441,3
1442,5
1443,1
1444,10
1445,0
1446,1
1447,10
1448,6
1449,0
1450,3
1451,4
1452,4
1453,9
1454,0
1455,9
1456,9
1457,4
1458,4
1459,0
1460,0
1461,0
1462,10
1463,0
1464,8
1465,5
1466,2
1467,9
1468,1
1469,0
1470,2
1471,1
1472,0
1473,9
1474,0
1475,10
1476,1
1477,4
1478,1
1479,5
1480,9
1481,6
1482,9
1483,9
1484,6
1485,2
1486,4
1487,3
1488,0
1489,0
1490,1
1491,3
1492,5
1493,1
1494,10
1495,10
1496,9
1497,4
1498,4
1499,0
1500,4
1501,6
1502,8
1503,4
1504,9
1505,1
1506,5
1507,7
1508,0
1509,0
1510,0
1511,2
1512,7
1513,0
1514,0
1515,9
1516,10
1517,3
1518,0
1519,0
1520,2
1521,0
1522,4
1523,4
1524,4
1525,4
1526,0
1527,0
1528,0
1529,4
1530,10
1531,3
1532,3
1533,4
1534,0
1535,7
1536,10
1537,10
1538,0
1539,4
1540,9
1541,6
1542,4
1543,6
1544,6
1545,6
1546,10
1547,10
1548,10
1549,4
1550,2
1551,8
1552,6
1553,1
1554,5
1555,2
1556,0
1557,4
1558,0
1559,1
1560,0
1561,10
1562,3
1563,4
1564,7
1565,0
1566,9
1567,7
1568,2
1569,4
1570,8
1571,5
1572,10
1573,1
1574,5
1575,4
1576,1
1577,1
1578,2
1579,7
1580,4
1581,7
1582,2
1583,4
1584,10
1585,0
1586,4
1587,5
1588,9
1589,9
1590,4
1591,10
1592,9
1593,10
1594,8
1595,0
1596,10
1597,7
1598,0
1599,10
1600,9
1601,4
1602,5
1603,9
1604,1
1605,10
1606,7
1607,1
1608,7
1609,9
1610,8
1611,0
1612,1
1613,10
1614,6
1615,7
1616,0
1617,10
1618,3
1619,0
1620,4
1621,0
1622,2
1623,1
1624,5
1625,1
1626,4
1627,2
1628,1
1629,1
1630,5
1631,8
1632,5
1633,3
1634,8
1635,0
1636,0
1637,0
1638,5
1639,1
1640,5
1641,4
1642,5
1643,0
1644,4
1645,2
1646,1
1647,0
1648,1
1649,8
1650,0
1651,3
1652,6
1653,7
1654,9
1655,3
1656,1
1657,0
1658,5
1659,0
1660,0
1661,10
1662,1
1663,0
1664,4
1665,4
1666,0
1667,0
1668,0
1669,4
1670,4
1671,0
1672,6
1673,0
1674,9
1675,9
1676,9
1677,7
1678,5
1679,0
1680,6
1681,5
1682,4
1683,10
1684,5
1685,4
1686,8
1687,9
1688,8
1689,10
1690,5
1691,2
1692,5
1693,9
1694,5
1695,9
1696,5
1697,0
1698,1
1699,0
1700,4
1701,9
1702,5
1703,0
1704,0
1705,8
1706,4
1707,10
1708,4
1709,0
1710,0
1711,10
1712,5
1713,0
1714,4
1715,9
1716,4
1717,5
1718,9
1719,5
1720,1
1721,0
1722,4
1723,4
1724,2
1725,2
1726,3
1727,10
1728,1
1729,3
1730,1
1731,4
1732,9
1733,2
1734,0
1735,0
1736,0
1737,10
1738,0
1739,8
1740,5
1741,0
1742,1
1743,9
1744,3
1745,0
1746,10
1747,4
1748,3
1749,9
1750,0
1751,4
1752,3
1753,10
1754,4
1755,4
1756,0
1757,7
1758,0
1759,7
1760,4
1761,4
1762,9
1763,6
1764,1
1765,7
1766,3
1767,5
1768,0
1769,5
1770,5
1771,0
1772,10
1773,0
1774,0
1775,5
1776,10
1777,5
1778,1
1779,4
1780,1
1781,1
1782,0
1783,1
1784,9
1785,0
1786,4
1787,1
1788,4
1789,9
1790,2
1791,3
1792,4
1793,1
1794,4
1795,1
1796,5
1797,10
1798,5
1799,1
1800,1
1801,4
1802,0
1803,0
1804,6
1805,0
1806,10
1807,5
1808,9
1809,4
1810,0
1811,4
1812,4
1813,1
1814,10
1815,1
1816,2
1817,4
1818,10
1819,10
1820,9
1821,10
1822,9
1823,4
1824,9
1825,2
1826,1
1827,0
1828,9
1829,5
1830,4
1831,2
1832,1
1833,7
1834,6
1835,7
1836,3
1837,9
1838,4
1839,8
1840,0
1841,4
1842,0
1843,0
1844,4
1845,4
1846,0
1847,9
1848,9
1849,8
1850,2
1851,5
1852,4
1853,9
1854,7
1855,1
1856,6
1857,0
1858,1
1859,6
1860,3
1861,2
1862,0
1863,4
1864,8
1865,4
1866,0
1867,1
1868,1
1869,3
1870,1
1871,5
1872,0
1873,10
1874,0
1875,10
1876,8
1877,7
1878,4
1879,6
1880,0
1881,8
1882,5
1883,0
1884,4
1885,3
1886,9
1887,0
1888,8
1889,3
1890,4
1891,2
1892,9
1893,7
1894,0
1895,5
1896,10
1897,5
1898,6
1899,5
1900,0
1901,3
1902,9
1903,0
1904,8
1905,2
1906,4
1907,0
1908,1
1909,5
1910,10
1911,3
1912,3
1913,4
1914,0
1915,1
1916,0
1917,2
1918,0
1919,8
1920,0
1921,8
1922,10
1923,0
1924,4
1925,5
