Id,Category
0,0
1,10
2,10
3,9
4,7
5,3
6,9
7,10
8,2
9,2
10,3
11,1
12,9
13,10
14,5
15,9
16,9
17,4
18,9
19,9
20,3
21,2
22,3
23,3
24,9
25,6
26,10
27,5
28,9
29,2
30,9
31,9
32,1
33,2
34,9
35,9
36,5
37,10
38,10
39,2
40,4
41,2
42,9
43,2
44,5
45,1
46,2
47,3
48,10
49,9
50,10
51,1
52,9
53,3
54,2
55,8
56,7
57,9
58,4
59,9
60,5
61,8
62,2
63,3
64,10
65,8
66,0
67,9
68,9
69,10
70,5
71,5
72,9
73,2
74,9
75,4
76,4
77,3
78,9
79,9
80,0
81,8
82,9
83,8
84,6
85,1
86,4
87,9
88,4
89,9
90,5
91,5
92,3
93,9
94,0
95,5
96,1
97,2
98,4
99,10
100,8
101,9
102,9
103,2
104,0
105,7
106,6
107,9
108,9
109,3
110,5
111,2
112,9
113,3
114,9
115,4
116,9
117,6
118,9
119,2
120,8
121,5
122,10
123,5
124,4
125,2
126,5
127,8
128,1
129,9
130,5
131,3
132,3
133,0
134,2
135,2
136,3
137,10
138,3
139,9
140,1
141,4
142,2
143,9
144,1
145,0
146,9
147,9
148,9
149,5
150,5
151,4
152,9
153,10
154,2
155,1
156,9
157,4
158,8
159,9
160,9
161,9
162,5
163,9
164,9
165,8
166,5
167,8
168,3
169,9
170,8
171,2
172,9
173,4
174,7
175,2
176,9
177,8
178,8
179,7
180,9
181,8
182,9
183,9
184,10
185,9
186,10
187,2
188,7
189,4
190,3
191,9
192,1
193,8
194,4
195,9
196,8
197,9
198,0
199,4
200,9
201,8
202,8
203,7
204,9
205,0
206,0
207,9
208,10
209,4
210,4
211,5
212,8
213,2
214,2
215,0
216,10
217,1
218,4
219,5
220,8
221,0
222,2
223,7
224,5
225,5
226,9
227,9
228,6
229,3
230,3
231,9
232,7
233,4
234,3
235,9
236,9
237,10
238,8
239,9
240,2
241,0
242,8
243,4
244,0
245,8
246,0
247,9
248,2
249,9
250,9
251,3
252,0
253,0
254,9
255,0
256,0
257,9
258,2
259,2
260,10
261,9
262,4
263,10
264,4
265,9
266,1
267,0
268,9
269,9
270,4
271,3
272,10
273,9
274,5
275,9
276,9
277,2
278,9
279,9
280,9
281,9
282,9
283,0
284,10
285,7
286,2
287,4
288,9
289,10
290,9
291,0
292,3
293,10
294,2
295,2
296,7
297,5
298,8
299,5
300,8
301,9
302,4
303,1
304,0
305,10
306,10
307,3
308,9
309,3
310,0
311,0
312,1
313,8
314,9
315,0
316,7
317,9
318,5
319,9
320,3
321,2
322,5
323,9
324,4
325,8
326,2
327,6
328,10
329,2
330,3
331,0
332,10
333,9
334,4
335,2
336,3
337,1
338,5
339,10
340,9
341,6
342,5
343,10
344,0
345,4
346,4
347,6
348,4
349,9
350,4
351,10
352,6
353,2
354,7
355,2
356,3
357,8
358,8
359,4
360,4
361,9
362,10
363,9
364,2
365,5
366,4
367,3
368,9
369,0
370,9
371,4
372,9
373,4
374,7
375,9
376,9
377,9
378,1
379,5
380,10
381,6
382,3
383,8
384,9
385,0
386,9
387,10
388,10
389,8
390,9
391,7
392,10
393,8
394,7
395,9
396,8
397,8
398,8
399,9
400,9
401,4
402,9
403,9
404,10
405,3
406,10
407,9
408,5
409,4
410,9
411,7
412,0
413,1
414,3
415,7
416,0
417,4
418,1
419,8
420,9
421,8
422,0
423,10
424,3
425,2
426,6
427,9
428,9
429,9
430,9
431,0
432,8
433,8
434,3
435,2
436,8
437,10
438,3
439,9
440,10
441,4
442,9
443,2
444,2
445,3
446,0
447,10
448,0
449,2
450,4
451,9
452,0
453,9
454,6
455,6
456,5
457,4
458,8
459,10
460,10
461,9
462,10
463,4
464,4
465,2
466,7
467,7
468,9
469,0
470,5
471,4
472,9
473,2
474,9
475,9
476,6
477,2
478,0
479,0
480,3
481,0
482,10
483,9
484,4
485,2
486,9
487,9
488,5
489,9
490,3
491,5
492,7
493,2
494,2
495,2
496,8
497,9
498,3
499,10
500,6
501,9
502,5
503,6
504,9
505,7
506,6
507,8
508,10
509,5
510,2
511,9
512,9
513,4
514,0
515,2
516,9
517,9
518,5
519,3
520,2
521,8
522,7
523,9
524,5
525,2
526,9
527,9
528,4
529,4
530,4
531,2
532,0
533,3
534,7
535,10
536,8
537,4
538,8
539,2
540,2
541,9
542,10
543,0
544,9
545,0
546,0
547,5
548,3
549,10
550,9
551,8
552,8
553,0
554,4
555,8
556,9
557,5
558,8
559,2
560,9
561,1
562,0
563,8
564,0
565,4
566,5
567,9
568,8
569,9
570,9
571,5
572,8
573,5
574,2
575,5
576,8
577,0
578,4
579,2
580,9
581,5
582,5
583,9
584,7
585,7
586,2
587,8
588,6
589,5
590,1
591,4
592,9
593,9
594,0
595,9
596,0
597,0
598,4
599,4
600,5
601,10
602,0
603,6
604,4
605,9
606,9
607,4
608,2
609,3
610,4
611,3
612,8
613,0
614,9
615,10
616,10
617,9
618,4
619,9
620,7
621,4
622,4
623,9
624,9
625,0
626,0
627,8
628,1
629,6
630,3
631,0
632,5
633,2
634,9
635,8
636,9
637,9
638,8
639,0
640,10
641,3
642,9
643,9
644,9
645,9
646,7
647,3
648,5
649,3
650,7
651,10
652,8
653,5
654,0
655,10
656,5
657,2
658,9
659,9
660,5
661,10
662,3
663,9
664,9
665,9
666,0
667,4
668,9
669,0
670,7
671,9
672,2
673,0
674,9
675,9
676,3
677,9
678,2
679,1
680,2
681,0
682,8
683,2
684,8
685,0
686,2
687,0
688,10
689,6
690,2
691,9
692,2
693,2
694,4
695,8
696,6
697,8
698,9
699,9
700,7
701,8
702,10
703,9
704,4
705,10
706,8
707,7
708,2
709,9
710,9
711,8
712,6
713,9
714,6
715,4
716,0
717,2
718,4
719,9
720,10
721,6
722,5
723,10
724,9
725,4
726,5
727,3
728,2
729,9
730,10
731,9
732,8
733,5
734,4
735,1
736,3
737,10
738,1
739,7
740,3
741,3
742,3
743,3
744,7
745,3
746,2
747,2
748,6
749,8
750,9
751,2
752,2
753,5
754,2
755,0
756,8
757,10
758,9
759,9
760,2
761,4
762,0
763,7
764,1
765,3
766,8
767,9
768,5
769,10
770,2
771,4
772,2
773,2
774,10
775,9
776,9
777,5
778,9
779,4
780,4
781,8
782,5
783,9
784,8
785,8
786,9
787,0
788,8
789,10
790,0
791,9
792,7
793,9
794,7
795,9
796,9
797,9
798,0
799,2
800,9
801,3
802,0
803,8
804,0
805,3
806,10
807,8
808,10
809,4
810,4
811,9
812,0
813,0
814,4
815,4
816,5
817,2
818,9
819,10
820,8
821,8
822,9
823,10
824,0
825,3
826,4
827,4
828,9
829,8
830,0
831,3
832,8
833,0
834,4
835,6
836,5
837,8
838,9
839,3
840,5
841,10
842,9
843,9
844,8
845,8
846,0
847,4
848,8
849,8
850,0
851,2
852,9
853,3
854,10
855,10
856,10
857,8
858,0
859,2
860,1
861,0
862,0
863,9
864,3
865,9
866,9
867,10
868,8
869,3
870,4
871,9
872,5
873,7
874,9
875,3
876,8
877,10
878,5
879,10
880,5
881,9
882,9
883,4
884,4
885,8
886,0
887,4
888,2
889,9
890,4
891,9
892,9
893,9
894,0
895,2
896,3
897,5
898,4
899,9
900,6
901,8
902,8
903,9
904,5
905,4
906,7
907,9
908,9
909,9
910,10
911,8
912,9
913,2
914,4
915,3
916,4
917,3
918,9
919,4
920,3
921,0
922,8
923,9
924,9
925,2
926,9
927,6
928,4
929,9
930,9
931,2
932,7
933,4
934,0
935,5
936,1
937,9
938,8
939,9
940,9
941,2
942,3
943,10
944,9
945,10
946,7
947,8
948,8
949,2
950,7
951,10
952,9
953,9
954,9
955,1
956,6
957,6
958,8
959,9
960,2
961,4
962,2
963,10
964,4
965,0
966,9
967,2
968,2
969,4
970,2
971,0
972,2
973,2
974,3
975,2
976,0
977,9
978,9
979,0
980,0
981,4
982,4
983,9
984,9
985,9
986,10
987,2
988,8
989,0
990,5
991,7
992,8
993,6
994,1
995,8
996,4
997,2
998,9
999,9
1000,9
1001,2
1002,10
1003,7
1004,3
1005,6
1006,3
1007,9
1008,9
1009,2
1010,5
1011,3
1012,6
1013,2
1014,0
1015,8
1016,4
1017,10
1018,2
1019,9
1020,10
1021,9
1022,5
1023,8
1024,9
1025,2
1026,10
1027,0
1028,10
1029,9
1030,10
1031,4
1032,7
1033,8
1034,0
1035,8
1036,8
1037,8
1038,2
1039,8
1040,9
1041,8
1042,9
1043,8
1044,3
1045,9
1046,9
1047,5
1048,4
1049,9
1050,9
1051,9
1052,9
1053,9
1054,8
1055,9
1056,9
1057,9
1058,3
1059,9
1060,10
1061,10
1062,2
1063,10
1064,9
1065,5
1066,4
1067,10
1068,9
1069,9
1070,8
1071,6
1072,0
1073,9
1074,10
1075,2
1076,8
1077,9
1078,2
1079,10
1080,9
1081,2
1082,7
1083,9
1084,4
1085,3
1086,1
1087,9
1088,1
1089,9
1090,1
1091,0
1092,2
1093,9
1094,0
1095,9
1096,10
1097,2
1098,10
1099,6
1100,0
1101,9
1102,0
1103,4
1104,9
1105,3
1106,9
1107,10
1108,8
1109,9
1110,2
1111,9
1112,2
1113,9
1114,3
1115,3
1116,9
1117,5
1118,0
1119,0
1120,0
1121,9
1122,7
1123,3
1124,1
1125,9
1126,6
1127,9
1128,2
1129,4
1130,8
1131,10
1132,9
1133,6
1134,4
1135,9
1136,9
1137,9
1138,0
1139,0
1140,9
1141,9
1142,9
1143,8
1144,8
1145,8
1146,9
1147,8
1148,1
1149,10
1150,0
1151,2
1152,6
1153,0
1154,2
1155,9
1156,0
1157,5
1158,2
1159,3
1160,9
1161,2
1162,9
1163,9
1164,4
1165,2
1166,2
1167,5
1168,0
1169,5
1170,4
1171,9
1172,7
1173,2
1174,8
1175,0
1176,10
1177,1
1178,0
1179,4
1180,0
1181,9
1182,3
1183,9
1184,2
1185,6
1186,0
1187,4
1188,8
1189,9
1190,7
1191,2
1192,8
1193,6
1194,9
1195,3
1196,9
1197,9
1198,0
1199,9
1200,5
1201,0
1202,9
1203,3
1204,8
1205,9
1206,8
1207,9
1208,9
1209,3
1210,9
1211,10
1212,5
1213,10
1214,2
1215,10
1216,8
1217,10
1218,0
1219,9
1220,5
1221,5
1222,0
1223,2
1224,8
1225,10
1226,9
1227,6
1228,1
1229,9
1230,2
1231,8
1232,9
1233,5
1234,9
1235,9
1236,4
1237,0
1238,9
1239,9
1240,0
1241,4
1242,9
1243,9
1244,9
1245,8
1246,4
1247,5
1248,3
1249,10
1250,5
1251,9
1252,10
1253,0
1254,9
1255,8
1256,4
1257,10
1258,10
1259,1
1260,7
1261,1
1262,4
1263,0
1264,4
1265,9
1266,2
1267,10
1268,8
1269,8
1270,8
1271,2
1272,2
1273,0
1274,2
1275,3
1276,4
1277,8
1278,9
1279,2
1280,9
1281,2
1282,9
1283,9
1284,0
1285,0
1286,9
1287,9
1288,10
1289,3
1290,8
1291,8
1292,2
1293,9
1294,4
1295,4
1296,0
1297,4
1298,9
1299,0
1300,9
1301,8
1302,5
1303,1
1304,0
1305,9
1306,2
1307,9
1308,2
1309,5
1310,0
1311,3
1312,10
1313,9
1314,9
1315,3
1316,4
1317,10
1318,9
1319,10
1320,2
1321,0
1322,3
1323,9
1324,4
1325,2
1326,6
1327,4
1328,4
1329,3
1330,10
1331,9
1332,2
1333,1
1334,2
1335,4
1336,3
1337,2
1338,0
1339,1
1340,5
1341,8
1342,4
1343,2
1344,9
1345,7
1346,4
1347,7
1348,2
1349,10
1350,8
1351,5
1352,1
1353,1
1354,8
1355,0
1356,5
1357,6
1358,0
1359,9
1360,0
1361,9
1362,5
1363,0
1364,10
1365,7
1366,0
1367,9
1368,2
1369,9
1370,8
1371,9
1372,4
1373,8
1374,9
1375,4
1376,10
1377,9
1378,9
1379,8
1380,4
1381,3
1382,8
1383,3
1384,9
1385,4
1386,9
1387,8
1388,9
1389,1
1390,8
1391,9
1392,2
1393,0
1394,2
1395,2
1396,10
1397,2
1398,8
1399,9
1400,1
1401,9
1402,9
1403,9
1404,9
1405,4
1406,3
1407,4
1408,0
1409,5
1410,0
1411,9
1412,6
1413,8
1414,8
1415,9
1416,8
1417,0
1418,2
1419,0
1420,8
1421,0
1422,3
1423,0
1424,4
1425,0
1426,4
1427,0
1428,2
1429,2
1430,9
1431,7
1432,8
1433,5
1434,8
1435,0
1436,5
1437,2
1438,5
1439,5
1440,8
1441,3
1442,5
1443,1
1444,10
1445,10
1446,1
1447,10
1448,6
1449,0
1450,3
1451,4
1452,8
1453,9
1454,8
1455,9
1456,9
1457,8
1458,4
1459,0
1460,2
1461,0
1462,2
1463,2
1464,4
1465,5
1466,9
1467,9
1468,9
1469,9
1470,2
1471,1
1472,8
1473,9
1474,8
1475,8
1476,9
1477,8
1478,9
1479,9
1480,9
1481,5
1482,9
1483,9
1484,0
1485,9
1486,4
1487,3
1488,8
1489,9
1490,1
1491,3
1492,8
1493,8
1494,10
1495,9
1496,9
1497,4
1498,4
1499,8
1500,4
1501,6
1502,8
1503,4
1504,9
1505,9
1506,9
1507,7
1508,8
1509,9
1510,4
1511,10
1512,9
1513,0
1514,5
1515,9
1516,10
1517,5
1518,4
1519,2
1520,2
1521,2
1522,0
1523,0
1524,9
1525,5
1526,2
1527,0
1528,9
1529,9
1530,2
1531,8
1532,9
1533,4
1534,8
1535,0
1536,3
1537,2
1538,0
1539,9
1540,9
1541,6
1542,4
1543,6
1544,6
1545,6
1546,9
1547,2
1548,10
1549,4
1550,2
1551,8
1552,6
1553,9
1554,9
1555,1
1556,9
1557,9
1558,0
1559,9
1560,0
1561,8
1562,3
1563,4
1564,7
1565,6
1566,9
1567,7
1568,9
1569,1
1570,8
1571,9
1572,10
1573,1
1574,5
1575,4
1576,1
1577,9
1578,1
1579,7
1580,9
1581,9
1582,2
1583,9
1584,8
1585,0
1586,4
1587,9
1588,9
1589,9
1590,2
1591,10
1592,9
1593,10
1594,8
1595,4
1596,10
1597,10
1598,3
1599,10
1600,9
1601,9
1602,1
1603,9
1604,8
1605,10
1606,3
1607,4
1608,7
1609,9
1610,9
1611,8
1612,9
1613,9
1614,6
1615,7
1616,0
1617,2
1618,3
1619,2
1620,4
1621,0
1622,1
1623,1
1624,2
1625,2
1626,9
1627,2
1628,9
1629,1
1630,5
1631,10
1632,5
1633,3
1634,4
1635,3
1636,3
1637,3
1638,9
1639,1
1640,4
1641,8
1642,5
1643,2
1644,9
1645,2
1646,1
1647,8
1648,1
1649,8
1650,1
1651,3
1652,10
1653,6
1654,9
1655,3
1656,1
1657,3
1658,9
1659,4
1660,8
1661,9
1662,1
1663,5
1664,5
1665,8
1666,8
1667,0
1668,1
1669,4
1670,9
1671,6
1672,6
1673,8
1674,9
1675,9
1676,7
1677,4
1678,5
1679,0
1680,6
1681,5
1682,4
1683,3
1684,2
1685,10
1686,8
1687,3
1688,8
1689,10
1690,9
1691,2
1692,5
1693,9
1694,5
1695,9
1696,9
1697,2
1698,9
1699,5
1700,4
1701,9
1702,5
1703,0
1704,8
1705,8
1706,10
1707,10
1708,0
1709,0
1710,3
1711,10
1712,5
1713,0
1714,4
1715,9
1716,4
1717,4
1718,9
1719,0
1720,3
1721,0
1722,4
1723,4
1724,9
1725,9
1726,0
1727,8
1728,9
1729,3
1730,8
1731,9
1732,9
1733,2
1734,0
1735,0
1736,0
1737,10
1738,3
1739,8
1740,9
1741,0
1742,9
1743,9
1744,3
1745,0
1746,10
1747,4
1748,9
1749,9
1750,2
1751,4
1752,3
1753,10
1754,3
1755,5
1756,3
1757,7
1758,5
1759,9
1760,9
1761,4
1762,9
1763,6
1764,1
1765,9
1766,3
1767,5
1768,5
1769,8
1770,5
1771,10
1772,10
1773,8
1774,8
1775,5
1776,9
1777,9
1778,9
1779,5
1780,4
1781,8
1782,2
1783,9
1784,9
1785,7
1786,2
1787,8
1788,1
1789,9
1790,8
1791,0
1792,9
1793,4
1794,5
1795,7
1796,9
1797,10
1798,2
1799,9
1800,1
1801,4
1802,5
1803,8
1804,6
1805,3
1806,9
1807,9
1808,9
1809,9
1810,9
1811,4
1812,4
1813,1
1814,10
1815,3
1816,2
1817,2
1818,9
1819,10
1820,9
1821,10
1822,9
1823,9
1824,9
1825,2
1826,1
1827,4
1828,9
1829,5
1830,0
1831,9
1832,9
1833,7
1834,6
1835,3
1836,3
1837,9
1838,4
1839,8
1840,8
1841,4
1842,9
1843,8
1844,5
1845,5
1846,2
1847,9
1848,3
1849,8
1850,2
1851,5
1852,8
1853,9
1854,0
1855,1
1856,6
1857,9
1858,2
1859,6
1860,3
1861,2
1862,0
1863,2
1864,8
1865,9
1866,8
1867,5
1868,1
1869,1
1870,7
1871,9
1872,0
1873,8
1874,0
1875,10
1876,8
1877,6
1878,9
1879,6
1880,3
1881,9
1882,2
1883,3
1884,4
1885,0
1886,9
1887,8
1888,8
1889,9
1890,4
1891,2
1892,9
1893,7
1894,3
1895,8
1896,6
1897,5
1898,0
1899,5
1900,2
1901,3
1902,3
1903,9
1904,8
1905,9
1906,8
1907,5
1908,1
1909,9
1910,10
1911,8
1912,0
1913,9
1914,9
1915,9
1916,9
1917,2
1918,8
1919,3
1920,8
1921,8
1922,10
1923,0
1924,7
1925,5
