Id,Category
0,6
1,10
2,10
3,10
4,10
5,10
6,10
7,10
8,4
9,2
10,10
11,4
12,10
13,10
14,10
15,4
16,1
17,4
18,10
19,10
20,10
21,10
22,8
23,10
24,3
25,4
26,10
27,10
28,10
29,10
30,10
31,10
32,10
33,2
34,10
35,10
36,10
37,10
38,10
39,10
40,4
41,3
42,2
43,10
44,10
45,1
46,10
47,10
48,10
49,10
50,10
51,1
52,10
53,10
54,10
55,10
56,4
57,1
58,10
59,4
60,10
61,10
62,2
63,3
64,10
65,10
66,2
67,10
68,2
69,10
70,10
71,10
72,10
73,10
74,10
75,10
76,4
77,2
78,10
79,10
80,10
81,2
82,10
83,10
84,8
85,10
86,10
87,10
88,10
89,10
90,1
91,10
92,4
93,10
94,10
95,10
96,2
97,10
98,10
99,10
100,4
101,10
102,8
103,10
104,4
105,4
106,10
107,4
108,10
109,10
110,10
111,10
112,2
113,10
114,10
115,4
116,10
117,10
118,10
119,10
120,10
121,10
122,10
123,10
124,10
125,10
126,10
127,10
128,8
129,10
130,10
131,10
132,4
133,4
134,2
135,2
136,7
137,10
138,3
139,2
140,2
141,10
142,10
143,10
144,10
145,4
146,3
147,10
148,10
149,10
150,10
151,4
152,10
153,10
154,10
155,1
156,4
157,2
158,10
159,8
160,2
161,10
162,10
163,10
164,10
165,10
166,10
167,10
168,2
169,10
170,10
171,2
172,2
173,10
174,3
175,10
176,2
177,10
178,10
179,10
180,3
181,10
182,2
183,10
184,10
185,4
186,4
187,2
188,2
189,10
190,2
191,10
192,10
193,4
194,10
195,10
196,8
197,10
198,10
199,4
200,10
201,10
202,10
203,10
204,2
205,6
206,10
207,2
208,10
209,10
210,10
211,10
212,10
213,4
214,10
215,2
216,10
217,1
218,4
219,4
220,10
221,10
222,10
223,4
224,2
225,10
226,4
227,2
228,4
229,2
230,10
231,2
232,10
233,10
234,10
235,6
236,4
237,10
238,10
239,4
240,10
241,4
242,10
243,10
244,2
245,10
246,2
247,4
248,3
249,10
250,10
251,4
252,4
253,10
254,10
255,10
256,10
257,8
258,10
259,4
260,6
261,10
262,10
263,10
264,2
265,4
266,1
267,10
268,10
269,10
270,4
271,10
272,10
273,10
274,10
275,10
276,10
277,10
278,10
279,4
280,2
281,10
282,10
283,10
284,10
285,4
286,2
287,10
288,10
289,10
290,10
291,10
292,2
293,10
294,4
295,10
296,10
297,10
298,10
299,10
300,10
301,10
302,4
303,1
304,10
305,10
306,10
307,10
308,10
309,4
310,3
311,4
312,10
313,10
314,10
315,10
316,7
317,2
318,10
319,9
320,2
321,2
322,10
323,10
324,10
325,10
326,10
327,10
328,10
329,10
330,10
331,10
332,10
333,2
334,2
335,10
336,10
337,4
338,10
339,10
340,10
341,10
342,10
343,2
344,10
345,10
346,4
347,10
348,10
349,9
350,10
351,10
352,10
353,10
354,4
355,10
356,4
357,10
358,10
359,10
360,2
361,10
362,10
363,10
364,10
365,10
366,10
367,4
368,10
369,4
370,10
371,10
372,10
373,10
374,4
375,10
376,10
377,10
378,10
379,2
380,10
381,10
382,10
383,10
384,10
385,10
386,4
387,10
388,10
389,10
390,10
391,10
392,10
393,10
394,10
395,10
396,10
397,10
398,10
399,1
400,4
401,5
402,10
403,10
404,10
405,2
406,10
407,10
408,10
409,4
410,10
411,10
412,10
413,1
414,2
415,10
416,10
417,10
418,10
419,2
420,10
421,10
422,10
423,10
424,10
425,10
426,10
427,4
428,4
429,10
430,10
431,2
432,4
433,10
434,10
435,2
436,10
437,10
438,10
439,8
440,10
441,10
442,10
443,5
444,10
445,10
446,10
447,10
448,10
449,2
450,4
451,10
452,4
453,4
454,10
455,6
456,10
457,10
458,10
459,10
460,10
461,9
462,10
463,10
464,2
465,2
466,10
467,3
468,10
469,10
470,10
471,4
472,8
473,10
474,4
475,4
476,4
477,10
478,4
479,2
480,10
481,2
482,4
483,10
484,10
485,10
486,2
487,10
488,10
489,10
490,10
491,10
492,3
493,4
494,10
495,2
496,8
497,10
498,10
499,10
500,10
501,10
502,10
503,4
504,3
505,4
506,10
507,10
508,10
509,10
510,10
511,4
512,4
513,4
514,10
515,10
516,4
517,10
518,4
519,10
520,10
521,4
522,10
523,9
524,2
525,2
526,10
527,7
528,10
529,10
530,10
531,10
532,4
533,3
534,4
535,10
536,4
537,10
538,10
539,10
540,3
541,10
542,10
543,4
544,3
545,10
546,10
547,10
548,10
549,10
550,2
551,2
552,1
553,10
554,4
555,4
556,3
557,10
558,6
559,2
560,10
561,10
562,4
563,8
564,10
565,4
566,10
567,1
568,10
569,3
570,10
571,10
572,10
573,10
574,10
575,4
576,10
577,10
578,5
579,10
580,2
581,2
582,10
583,10
584,4
585,10
586,10
587,2
588,10
589,10
590,4
591,4
592,10
593,10
594,10
595,10
596,10
597,2
598,4
599,4
600,10
601,10
602,10
603,4
604,10
605,10
606,10
607,10
608,10
609,10
610,10
611,4
612,10
613,10
614,10
615,10
616,10
617,4
618,10
619,4
620,10
621,10
622,10
623,10
624,10
625,4
626,10
627,10
628,2
629,10
630,10
631,10
632,10
633,4
634,2
635,2
636,10
637,10
638,10
639,10
640,10
641,10
642,4
643,10
644,10
645,10
646,10
647,10
648,10
649,10
650,10
651,10
652,10
653,10
654,10
655,10
656,10
657,8
658,10
659,10
660,10
661,10
662,4
663,4
664,9
665,8
666,10
667,10
668,4
669,4
670,10
671,10
672,10
673,10
674,10
675,10
676,3
677,10
678,10
679,2
680,10
681,10
682,10
683,10
684,10
685,10
686,10
687,10
688,10
689,6
690,2
691,3
692,2
693,10
694,4
695,4
696,4
697,10
698,10
699,9
700,3
701,4
702,10
703,10
704,10
705,10
706,10
707,10
708,10
709,10
710,10
711,10
712,10
713,10
714,10
715,4
716,10
717,10
718,4
719,10
720,10
721,10
722,10
723,10
724,10
725,10
726,10
727,10
728,10
729,4
730,4
731,10
732,2
733,10
734,4
735,2
736,4
737,10
738,4
739,10
740,4
741,10
742,10
743,10
744,1
745,10
746,8
747,2
748,10
749,10
750,10
751,2
752,4
753,10
754,10
755,10
756,8
757,10
758,4
759,10
760,10
761,10
762,10
763,10
764,10
765,2
766,10
767,2
768,10
769,10
770,2
771,4
772,10
773,2
774,10
775,8
776,10
777,10
778,10
779,10
780,4
781,10
782,10
783,10
784,8
785,10
786,10
787,10
788,10
789,10
790,10
791,10
792,10
793,1
794,7
795,10
796,10
797,2
798,10
799,1
800,10
801,1
802,4
803,10
804,10
805,4
806,10
807,10
808,10
809,2
810,10
811,10
812,10
813,10
814,4
815,4
816,10
817,2
818,10
819,2
820,10
821,10
822,10
823,10
824,4
825,2
826,10
827,2
828,10
829,4
830,4
831,10
832,10
833,10
834,10
835,4
836,10
837,4
838,2
839,10
840,10
841,4
842,10
843,10
844,10
845,2
846,10
847,10
848,10
849,10
850,4
851,10
852,4
853,2
854,10
855,10
856,10
857,10
858,4
859,10
860,10
861,4
862,10
863,10
864,1
865,10
866,2
867,10
868,10
869,2
870,10
871,10
872,10
873,4
874,10
875,8
876,10
877,10
878,10
879,10
880,10
881,10
882,10
883,10
884,10
885,8
886,10
887,10
888,10
889,10
890,10
891,10
892,10
893,10
894,4
895,2
896,2
897,10
898,4
899,10
900,10
901,10
902,10
903,4
904,10
905,10
906,4
907,10
908,6
909,10
910,10
911,10
912,10
913,10
914,4
915,3
916,10
917,10
918,2
919,10
920,10
921,10
922,2
923,10
924,10
925,10
926,2
927,4
928,10
929,10
930,7
931,10
932,4
933,10
934,10
935,2
936,8
937,10
938,10
939,10
940,9
941,2
942,4
943,10
944,10
945,10
946,6
947,4
948,2
949,8
950,10
951,10
952,4
953,10
954,10
955,2
956,10
957,6
958,10
959,10
960,10
961,10
962,10
963,10
964,10
965,4
966,10
967,10
968,10
969,4
970,10
971,10
972,10
973,2
974,10
975,10
976,10
977,10
978,10
979,4
980,10
981,10
982,10
983,2
984,6
985,10
986,10
987,10
988,10
989,10
990,10
991,10
992,2
993,7
994,2
995,10
996,4
997,2
998,10
999,2
1000,10
1001,10
1002,10
1003,10
1004,10
1005,10
1006,10
1007,2
1008,4
1009,10
1010,10
1011,10
1012,10
1013,2
1014,10
1015,2
1016,10
1017,10
1018,10
1019,4
1020,10
1021,10
1022,10
1023,4
1024,10
1025,2
1026,10
1027,2
1028,10
1029,8
1030,10
1031,4
1032,10
1033,4
1034,10
1035,10
1036,10
1037,10
1038,10
1039,10
1040,10
1041,10
1042,2
1043,4
1044,10
1045,10
1046,10
1047,10
1048,10
1049,10
1050,10
1051,10
1052,4
1053,10
1054,10
1055,10
